,Ticker,Last Long Signal,Last Short Signal
2,AACG,2024-09-20T00:00:00.000,2025-06-23T00:00:00.000
6,AAOI,2025-06-05T00:00:00.000,2025-06-24T00:00:00.000
10,AAPG,2025-07-02T00:00:00.000,2025-07-03T00:00:00.000
16,ABAT,2025-04-01T00:00:00.000,2025-07-03T00:00:00.000
17,ABCL,2025-06-03T00:00:00.000,2025-07-03T00:00:00.000
19,ABEO,2024-02-07T00:00:00.000,2025-03-13T00:00:00.000
23,ABLV,2025-04-01T00:00:00.000,2025-06-04T00:00:00.000
25,ABOS,2023-11-29T00:00:00.000,2025-03-24T00:00:00.000
26,ABP,2024-11-27T00:00:00.000,2025-05-21T00:00:00.000
27,ABSI,2025-01-21T00:00:00.000,2025-04-25T00:00:00.000
28,ABTS,2025-05-08T00:00:00.000,2025-05-09T00:00:00.000
30,ABVC,2025-06-04T00:00:00.000,2025-07-03T00:00:00.000
31,ABVE,2025-04-25T00:00:00.000,2025-07-03T00:00:00.000
34,ACB,2025-01-15T00:00:00.000,2025-06-17T00:00:00.000
35,ACDC,2025-05-19T00:00:00.000,2025-06-20T00:00:00.000
36,ACET,2024-01-03T00:00:00.000,2025-06-13T00:00:00.000
41,ACHV,2025-05-09T00:00:00.000,2025-07-03T00:00:00.000
42,ACIC,2023-07-21T00:00:00.000,2024-09-09T00:00:00.000
43,ACIU,2024-05-10T00:00:00.000,2025-03-27T00:00:00.000
46,ACLX,2023-10-27T00:00:00.000,2025-03-17T00:00:00.000
47,ACMR,2025-01-28T00:00:00.000,2025-07-03T00:00:00.000
50,ACOG,2025-04-30T00:00:00.000,2025-05-20T00:00:00.000
51,ACON,2024-12-04T00:00:00.000,2025-04-17T00:00:00.000
52,ACRS,2024-11-07T00:00:00.000,2025-03-27T00:00:00.000
53,ACRV,2024-03-20T00:00:00.000,2025-05-05T00:00:00.000
56,ACTU,2024-12-20T00:00:00.000,2025-06-16T00:00:00.000
59,ACXP,2025-05-20T00:00:00.000,2025-06-16T00:00:00.000
60,ADAG,2024-01-04T00:00:00.000,2025-04-01T00:00:00.000
61,ADAP,2024-01-31T00:00:00.000,2025-06-03T00:00:00.000
64,ADD,2024-09-04T00:00:00.000,2025-03-27T00:00:00.000
66,ADGM,2025-04-11T00:00:00.000,2025-07-03T00:00:00.000
68,ADIL,2024-03-15T00:00:00.000,2025-07-03T00:00:00.000
70,ADN,2024-11-08T00:00:00.000,2025-06-06T00:00:00.000
73,ADSE,2023-05-15T00:00:00.000,2025-05-14T00:00:00.000
76,ADTX,2023-12-11T00:00:00.000,2025-07-03T00:00:00.000
77,ADUR,2025-05-08T00:00:00.000,2025-06-09T00:00:00.000
79,ADV,2023-11-10T00:00:00.000,2025-05-02T00:00:00.000
81,ADVM,2024-02-01T00:00:00.000,2025-05-07T00:00:00.000
82,ADXN,2024-03-22T00:00:00.000,2025-02-24T00:00:00.000
83,AEHL,2024-07-01T00:00:00.000,2025-05-08T00:00:00.000
84,AEHR,2024-07-02T00:00:00.000,2025-07-03T00:00:00.000
85,AEI,2024-09-26T00:00:00.000,2025-05-15T00:00:00.000
87,AEMD,2024-12-17T00:00:00.000,2025-06-04T00:00:00.000
88,AENT,2024-12-06T00:00:00.000,2025-07-03T00:00:00.000
90,AERT,2025-06-09T00:00:00.000,2025-06-27T00:00:00.000
92,AEYE,2024-04-30T00:00:00.000,2025-03-11T00:00:00.000
98,AFRM,2024-11-04T00:00:00.000,2025-03-24T00:00:00.000
101,AGAE,2025-05-16T00:00:00.000,2025-07-03T00:00:00.000
103,AGEN,2025-05-28T00:00:00.000,2025-07-03T00:00:00.000
104,AGFY,2025-05-01T00:00:00.000,2025-06-13T00:00:00.000
121,AHG,2025-04-15T00:00:00.000,2025-07-03T00:00:00.000
126,AIFF,2025-01-27T00:00:00.000,2025-05-23T00:00:00.000
127,AIFU,2025-06-18T00:00:00.000,2025-07-03T00:00:00.000
128,AIHS,2024-08-13T00:00:00.000,2025-06-05T00:00:00.000
129,AIMD,2024-12-24T00:00:00.000,2025-07-03T00:00:00.000
130,AIOT,2024-03-04T00:00:00.000,2025-05-22T00:00:00.000
131,AIP,2023-05-16T00:00:00.000,2025-03-25T00:00:00.000
134,AIRE,2024-12-06T00:00:00.000,2025-07-03T00:00:00.000
135,AIRG,2023-11-10T00:00:00.000,2025-03-19T00:00:00.000
136,AIRJ,2024-04-29T00:00:00.000,2025-05-02T00:00:00.000
142,AISP,2024-12-18T00:00:00.000,2025-07-03T00:00:00.000
143,AIXI,2024-09-11T00:00:00.000,2025-06-04T00:00:00.000
145,AKAN,2024-04-19T00:00:00.000,2025-03-28T00:00:00.000
147,AKRO,2025-01-24T00:00:00.000,2025-07-03T00:00:00.000
148,AKTX,2025-02-25T00:00:00.000,2025-06-02T00:00:00.000
152,ALBT,2025-02-06T00:00:00.000,2025-06-26T00:00:00.000
159,ALEC,2023-11-27T00:00:00.000,2025-07-03T00:00:00.000
162,ALGM,2025-04-22T00:00:00.000,2025-07-01T00:00:00.000
172,ALLT,2024-12-24T00:00:00.000,2025-07-03T00:00:00.000
174,ALMS,2025-03-12T00:00:00.000,2025-05-29T00:00:00.000
175,ALMU,2025-05-06T00:00:00.000,2025-06-03T00:00:00.000
177,ALNY,2024-06-13T00:00:00.000,2025-03-24T00:00:00.000
181,ALT,2023-12-13T00:00:00.000,2025-06-02T00:00:00.000
182,ALTI,2023-06-01T00:00:00.000,2025-03-11T00:00:00.000
183,ALTO,2023-06-27T00:00:00.000,2025-04-02T00:00:00.000
184,ALTS,2025-05-15T00:00:00.000,2025-07-03T00:00:00.000
187,ALXO,2023-12-05T00:00:00.000,2025-06-11T00:00:00.000
188,ALZN,2024-07-22T00:00:00.000,2025-06-18T00:00:00.000
192,AMBR,2025-03-04T00:00:00.000,2025-06-04T00:00:00.000
197,AMDL,2025-04-22T00:00:00.000,2025-07-03T00:00:00.000
201,AMIX,2024-07-03T00:00:00.000,2025-05-28T00:00:00.000
203,AMLX,2024-10-14T00:00:00.000,2025-07-03T00:00:00.000
204,AMOD,2025-01-15T00:00:00.000,2025-05-14T00:00:00.000
205,AMPG,2024-12-10T00:00:00.000,2025-05-27T00:00:00.000
206,AMPGW,2025-05-02T00:00:00.000,2025-07-03T00:00:00.000
212,AMSC,2024-05-21T00:00:00.000,2025-07-03T00:00:00.000
214,AMST,2025-04-17T00:00:00.000,2025-05-20T00:00:00.000
216,AMUU,2025-05-30T00:00:00.000,2025-07-03T00:00:00.000
224,ANEB,2025-06-04T00:00:00.000,2025-07-03T00:00:00.000
225,ANGH,2024-03-04T00:00:00.000,2025-06-17T00:00:00.000
232,ANL,2024-10-17T00:00:00.000,2025-06-27T00:00:00.000
238,ANTE,2025-04-11T00:00:00.000,2025-06-03T00:00:00.000
239,ANTX,2023-08-15T00:00:00.000,2025-03-26T00:00:00.000
240,ANY,2025-04-24T00:00:00.000,2025-06-10T00:00:00.000
242,AOSL,2024-11-13T00:00:00.000,2025-04-02T00:00:00.000
244,AOUT,2024-11-20T00:00:00.000,2025-03-27T00:00:00.000
246,APDN,2024-08-16T00:00:00.000,2025-06-06T00:00:00.000
247,APED,2025-04-22T00:00:00.000,2025-05-19T00:00:00.000
248,APEI,2023-11-14T00:00:00.000,2024-07-31T00:00:00.000
249,APGE,2024-03-01T00:00:00.000,2025-03-21T00:00:00.000
250,API,2025-01-15T00:00:00.000,2025-04-02T00:00:00.000
