,Ticker,Last Long Signal,Last Short Signal
91,AEVA,2025-07-03T00:00:00.000,2025-02-19T00:00:00.000
108,AGMH,2025-06-30T00:00:00.000,2025-06-12T00:00:00.000
117,AGRI,2025-06-17T00:00:00.000,2025-06-04T00:00:00.000
139,AIRS,2025-05-09T00:00:00.000,2025-03-27T00:00:00.000
146,AKBA,2025-05-12T00:00:00.000,2025-03-19T00:00:00.000
150,ALAB,2025-04-22T00:00:00.000,2025-03-25T00:00:00.000
151,ALAR,2025-06-04T00:00:00.000,2025-03-17T00:00:00.000
158,ALDX,2025-06-06T00:00:00.000,2025-05-02T00:00:00.000
164,ALGS,2025-07-02T00:00:00.000,2025-04-04T00:00:00.000
196,AMDG,2025-05-30T00:00:00.000,2025-04-02T00:00:00.000
215,AMTX,2025-06-27T00:00:00.000,2025-04-10T00:00:00.000
233,ANNA,2025-07-03T00:00:00.000,2025-06-09T00:00:00.000
234,ANNX,2025-06-20T00:00:00.000,2025-03-28T00:00:00.000
261,APPS,2025-05-19T00:00:00.000,2025-03-24T00:00:00.000
272,ARBE,2025-04-17T00:00:00.000,2025-03-24T00:00:00.000
279,AREB,2025-07-02T00:00:00.000,2025-06-30T00:00:00.000
303,ASMB,2025-04-04T00:00:00.000,2025-03-14T00:00:00.000
307,ASNS,2025-07-03T00:00:00.000,2025-06-16T00:00:00.000
319,ASTI,2025-05-30T00:00:00.000,2025-05-27T00:00:00.000
324,ATAI,2025-05-09T00:00:00.000,2025-03-06T00:00:00.000
357,ATYR,2025-05-16T00:00:00.000,2025-03-20T00:00:00.000
365,AUTL,2025-05-15T00:00:00.000,2025-03-31T00:00:00.000
383,AVTX,2025-07-03T00:00:00.000,2025-05-01T00:00:00.000
391,AXTI,2025-05-14T00:00:00.000,2025-03-25T00:00:00.000
394,AZ,2024-10-17T00:00:00.000,2024-08-09T00:00:00.000
430,BCLI,2025-04-11T00:00:00.000,2025-03-27T00:00:00.000
441,BDTX,2025-05-07T00:00:00.000,2025-03-21T00:00:00.000
483,BIRD,2025-05-21T00:00:00.000,2025-04-02T00:00:00.000
502,BLBX,2025-07-03T00:00:00.000,2025-06-09T00:00:00.000
516,BLRX,2025-05-14T00:00:00.000,2025-03-24T00:00:00.000
523,BMGL,2025-07-03T00:00:00.000,2025-06-12T00:00:00.000
533,BNR,2025-06-17T00:00:00.000,2025-04-14T00:00:00.000
568,BRLS,2025-06-10T00:00:00.000,2025-05-22T00:00:00.000
589,BSGM,2025-06-04T00:00:00.000,2025-03-11T00:00:00.000
622,BTM,2025-05-23T00:00:00.000,2025-02-04T00:00:00.000
673,CAPT,2025-05-28T00:00:00.000,2025-04-24T00:00:00.000
674,CAR,2025-06-04T00:00:00.000,2025-02-26T00:00:00.000
683,CASI,2025-07-03T00:00:00.000,2025-06-12T00:00:00.000
696,CBUS,2025-07-03T00:00:00.000,2025-06-06T00:00:00.000
