,Ticker,Last Long Signal,Last Short Signal
0,AACB,,2025-07-03T00:00:00.000
1,AACBU,,2025-07-03T00:00:00.000
10,AAPG,2025-07-02T00:00:00.000,2025-07-03T00:00:00.000
14,AAVM,,2025-07-03T00:00:00.000
15,AAXJ,,2025-07-03T00:00:00.000
16,ABAT,2025-04-01T00:00:00.000,2025-07-03T00:00:00.000
17,ABCL,2025-06-03T00:00:00.000,2025-07-03T00:00:00.000
18,ABCS,,2025-07-03T00:00:00.000
20,ABIG,,2025-07-03T00:00:00.000
30,ABVC,2025-06-04T00:00:00.000,2025-07-03T00:00:00.000
31,ABVE,2025-04-25T00:00:00.000,2025-07-03T00:00:00.000
38,ACGLN,,2025-07-03T00:00:00.000
39,ACGLO,,2025-07-03T00:00:00.000
41,ACHV,2025-05-09T00:00:00.000,2025-07-03T00:00:00.000
47,ACMR,2025-01-28T00:00:00.000,2025-07-03T00:00:00.000
54,ACT,,2025-07-03T00:00:00.000
57,ACWI,,2025-07-03T00:00:00.000
58,ACWX,,2025-07-03T00:00:00.000
66,ADGM,2025-04-11T00:00:00.000,2025-07-03T00:00:00.000
68,ADIL,2024-03-15T00:00:00.000,2025-07-03T00:00:00.000
71,ADP,,2025-07-03T00:00:00.000
76,ADTX,2023-12-11T00:00:00.000,2025-07-03T00:00:00.000
80,ADVB,,2025-07-03T00:00:00.000
84,AEHR,2024-07-02T00:00:00.000,2025-07-03T00:00:00.000
86,AEIS,,2025-07-03T00:00:00.000
88,AENT,2024-12-06T00:00:00.000,2025-07-03T00:00:00.000
89,AEP,,2025-07-03T00:00:00.000
95,AFJK,,2025-07-03T00:00:00.000
97,AFRI,,2025-07-03T00:00:00.000
99,AFSC,,2025-07-03T00:00:00.000
101,AGAE,2025-05-16T00:00:00.000,2025-07-03T00:00:00.000
102,AGEM,,2025-07-03T00:00:00.000
103,AGEN,2025-05-28T00:00:00.000,2025-07-03T00:00:00.000
107,AGIX,,2025-07-03T00:00:00.000
111,AGNCL,,2025-07-03T00:00:00.000
112,AGNCM,,2025-07-03T00:00:00.000
113,AGNCN,,2025-07-03T00:00:00.000
114,AGNCO,,2025-07-03T00:00:00.000
115,AGNCP,,2025-07-03T00:00:00.000
116,AGNG,,2025-07-03T00:00:00.000
119,AGZD,,2025-07-03T00:00:00.000
121,AHG,2025-04-15T00:00:00.000,2025-07-03T00:00:00.000
124,AIFE,,2025-07-03T00:00:00.000
125,AIFEU,,2025-07-03T00:00:00.000
127,AIFU,2025-06-18T00:00:00.000,2025-07-03T00:00:00.000
129,AIMD,2024-12-24T00:00:00.000,2025-07-03T00:00:00.000
134,AIRE,2024-12-06T00:00:00.000,2025-07-03T00:00:00.000
138,AIRR,,2025-07-03T00:00:00.000
142,AISP,2024-12-18T00:00:00.000,2025-07-03T00:00:00.000
147,AKRO,2025-01-24T00:00:00.000,2025-07-03T00:00:00.000
153,ALCO,,2025-07-03T00:00:00.000
156,ALDF,,2025-07-03T00:00:00.000
157,ALDFU,,2025-07-03T00:00:00.000
159,ALEC,2023-11-27T00:00:00.000,2025-07-03T00:00:00.000
160,ALF,,2025-07-03T00:00:00.000
161,ALFUU,,2025-07-03T00:00:00.000
162,ALGM,2025-04-22T00:00:00.000,2025-07-01T00:00:00.000
167,ALIL,,2025-07-03T00:00:00.000
172,ALLT,2024-12-24T00:00:00.000,2025-07-03T00:00:00.000
173,ALLW,,2025-07-03T00:00:00.000
184,ALTS,2025-05-15T00:00:00.000,2025-07-03T00:00:00.000
185,ALTY,,2025-07-03T00:00:00.000
195,AMDD,,2025-07-03T00:00:00.000
197,AMDL,2025-04-22T00:00:00.000,2025-07-03T00:00:00.000
199,AMGN,,2025-07-03T00:00:00.000
200,AMID,,2025-07-03T00:00:00.000
203,AMLX,2024-10-14T00:00:00.000,2025-07-03T00:00:00.000
206,AMPGW,2025-05-02T00:00:00.000,2025-07-03T00:00:00.000
212,AMSC,2024-05-21T00:00:00.000,2025-07-03T00:00:00.000
213,AMSF,,2025-07-03T00:00:00.000
216,AMUU,2025-05-30T00:00:00.000,2025-07-03T00:00:00.000
220,AMZU,,2025-07-03T00:00:00.000
221,AMZZ,,2025-07-03T00:00:00.000
224,ANEB,2025-06-04T00:00:00.000,2025-07-03T00:00:00.000
227,ANGL,,2025-07-03T00:00:00.000
235,ANSC,,2025-07-03T00:00:00.000
241,AOHY,,2025-07-03T00:00:00.000
245,APA,,2025-07-03T00:00:00.000
263,APVO,2024-10-15T00:00:00.000,2025-07-03T00:00:00.000
265,APYX,2025-05-12T00:00:00.000,2025-07-02T00:00:00.000
267,AQMS,,2025-07-03T00:00:00.000
269,AQWA,,2025-07-03T00:00:00.000
270,ARAY,,2025-07-03T00:00:00.000
276,ARCC,,2025-07-03T00:00:00.000
287,ARMG,2025-07-03T00:00:00.000,2025-07-03T00:00:00.000
291,ARQT,2024-02-13T00:00:00.000,2025-07-03T00:00:00.000
292,ARRY,2025-04-23T00:00:00.000,2025-07-03T00:00:00.000
293,ARTL,2025-06-03T00:00:00.000,2025-07-03T00:00:00.000
295,ARTV,2025-02-11T00:00:00.000,2025-07-03T00:00:00.000
298,ARVR,,2025-07-03T00:00:00.000
301,ASET,,2025-07-03T00:00:00.000
304,ASMG,,2025-07-03T00:00:00.000
309,ASPC,,2025-07-03T00:00:00.000
310,ASPCU,,2025-07-03T00:00:00.000
312,ASPS,2025-05-21T00:00:00.000,2025-07-03T00:00:00.000
321,ASTS,2025-06-03T00:00:00.000,2025-07-03T00:00:00.000
326,ATCOL,,2025-07-03T00:00:00.000
328,ATER,2024-03-21T00:00:00.000,2025-07-03T00:00:00.000
333,ATHR,,2025-07-03T00:00:00.000
334,ATII,,2025-07-03T00:00:00.000
335,ATIIU,,2025-07-03T00:00:00.000
337,ATLCL,,2025-07-03T00:00:00.000
339,ATLCZ,,2025-07-03T00:00:00.000
343,ATMC,,2025-07-03T00:00:00.000
345,ATMV,,2025-07-03T00:00:00.000
368,AVAV,2025-05-30T00:00:00.000,2025-07-03T00:00:00.000
372,AVGB,,2025-07-03T00:00:00.000
374,AVGX,2025-05-06T00:00:00.000,2025-07-03T00:00:00.000
376,AVL,2025-05-06T00:00:00.000,2025-07-03T00:00:00.000
377,AVNW,,2025-07-03T00:00:00.000
379,AVPT,,2025-07-01T00:00:00.000
384,AVUQ,,2025-07-03T00:00:00.000
385,AVXC,,2025-07-03T00:00:00.000
395,AZI,2025-07-02T00:00:00.000,2025-07-03T00:00:00.000
399,BACQ,,2025-07-03T00:00:00.000
400,BACQU,,2025-07-03T00:00:00.000
402,BAFE,,2025-07-03T00:00:00.000
405,BANF,,2025-07-03T00:00:00.000
406,BANFP,,2025-07-03T00:00:00.000
407,BANL,2024-09-25T00:00:00.000,2025-07-02T00:00:00.000
410,BAOS,2025-05-09T00:00:00.000,2025-07-03T00:00:00.000
412,BATRA,,2025-07-03T00:00:00.000
413,BATRK,,2025-07-03T00:00:00.000
414,BAYA,,2025-07-03T00:00:00.000
415,BAYAU,,2025-07-03T00:00:00.000
418,BBH,,2025-07-03T00:00:00.000
419,BBIO,2023-07-14T00:00:00.000,2025-07-03T00:00:00.000
422,BBNX,2025-05-06T00:00:00.000,2025-07-03T00:00:00.000
423,BBSI,,2025-07-03T00:00:00.000
431,BCLO,,2025-07-03T00:00:00.000
433,BCPC,,2025-07-03T00:00:00.000
435,BCTX,2025-01-28T00:00:00.000,2025-07-03T00:00:00.000
437,BDGS,,2025-07-03T00:00:00.000
439,BDRX,2024-04-24T00:00:00.000,2025-07-03T00:00:00.000
442,BEAG,,2025-07-03T00:00:00.000
443,BEAGU,,2025-07-03T00:00:00.000
448,BEEX,,2025-07-03T00:00:00.000
449,BEEZ,,2025-07-03T00:00:00.000
452,BELT,,2025-07-03T00:00:00.000
455,BFC,,2025-07-03T00:00:00.000
460,BGC,,2025-07-03T00:00:00.000
462,BGLC,2025-06-04T00:00:00.000,2025-07-03T00:00:00.000
464,BGRN,,2025-07-03T00:00:00.000
465,BGRO,,2025-07-03T00:00:00.000
492,BKCH,2023-11-29T00:00:00.000,2025-07-03T00:00:00.000
493,BKHA,,2025-07-03T00:00:00.000
494,BKHAU,,2025-07-03T00:00:00.000
498,BKWO,,2025-07-03T00:00:00.000
504,BLCR,,2025-07-03T00:00:00.000
514,BLNE,2024-11-18T00:00:00.000,2025-07-03T00:00:00.000
519,BMAX,,2025-07-03T00:00:00.000
521,BMDL,,2025-07-03T00:00:00.000
528,BNAI,2025-05-12T00:00:00.000,2025-07-02T00:00:00.000
529,BND,,2025-07-03T00:00:00.000
530,BNDW,,2025-07-03T00:00:00.000
531,BNDX,,2025-07-03T00:00:00.000
537,BNZI,,2025-07-03T00:00:00.000
538,BOF,2024-08-27T00:00:00.000,2025-07-03T00:00:00.000
551,BPMC,,2025-07-03T00:00:00.000
553,BPOPM,,2025-07-03T00:00:00.000
562,BRHY,,2025-07-03T00:00:00.000
564,BRKD,,2025-07-03T00:00:00.000
567,BRKU,,2025-07-03T00:00:00.000
571,BRNY,,2025-07-03T00:00:00.000
573,BRTR,,2025-07-03T00:00:00.000
578,BSCP,,2025-07-03T00:00:00.000
579,BSCQ,,2025-07-03T00:00:00.000
580,BSCR,,2025-07-03T00:00:00.000
581,BSCS,,2025-07-03T00:00:00.000
582,BSCT,,2025-07-03T00:00:00.000
583,BSCU,,2025-07-03T00:00:00.000
584,BSCV,,2025-07-03T00:00:00.000
585,BSCW,,2025-07-03T00:00:00.000
586,BSCX,,2025-07-03T00:00:00.000
587,BSCY,,2025-07-03T00:00:00.000
590,BSJP,,2025-07-03T00:00:00.000
591,BSJQ,,2025-07-03T00:00:00.000
592,BSJR,,2025-07-03T00:00:00.000
593,BSJS,,2025-07-03T00:00:00.000
594,BSJT,,2025-07-03T00:00:00.000
595,BSJU,,2025-07-03T00:00:00.000
596,BSJV,,2025-07-03T00:00:00.000
597,BSJW,,2025-07-03T00:00:00.000
598,BSLK,2025-01-22T00:00:00.000,2025-07-03T00:00:00.000
599,BSMP,,2025-07-03T00:00:00.000
600,BSMQ,,2025-07-03T00:00:00.000
601,BSMR,,2025-07-03T00:00:00.000
602,BSMS,,2025-07-03T00:00:00.000
603,BSMT,,2025-07-03T00:00:00.000
604,BSMU,,2025-07-03T00:00:00.000
